id,ten_dau_viec,nhom,phong_chinh,phong_phoi_hop,bat_dau,ket_thuc,trang_thai,so_lan_nhac,ghi_chu,nguon_van_ban,dinh_ky
115,KHTH báo cáo số liệu và tour trực CS2 vào giao ban sáng tại CS1,quan_ly_khac,KHTH,,2026-01-06,2026-01-09,dang_thuc_hien,1,Thực hiện từ 07/01/2026,Biên bản 06/01/2026,1
116,TCCB + HCQT + Điều dưỡng thiết kế đồng phục bảo vệ (nón + giày + dây lưng) trình GĐ,quan_ly_khac,TCCB,HCQT|Điều dưỡng,2026-01-13,2026-01-14,da_hoan_thanh,1,⚠️ Báo cáo từ phòng phối hợp (HCQT) — cần kiểm tra lại với phòng chính (TCCB),Biên bản 13/01/2026,0
117,HCQT quy hoạch cây xanh toàn khuôn viên (cau + bằng lăng + xoài + hoa vàng),hanh_chanh,HCQT,,2026-01-13,2026-01-20,da_hoan_thanh,1,,Biên bản 13/01/2026,0
118,HCQT quy hoạch khu vực vườn thuốc nam,hanh_chanh,HCQT,,2026-01-13,2026-01-20,da_hoan_thanh,2,Nhắc lại từ 06/01,Biên bản 13/01/2026,0
119,HCQT xử lý vết nứt tòa nhà (ưu tiên mặt tiền),hanh_chanh,HCQT,,2026-01-13,2026-01-20,da_hoan_thanh,1,,Biên bản 13/01/2026,0
120,HCQT cải tạo hành lang phía ngoài CC (đổ cát + gia cố lan can + trồng cây Vạn Thiên Tuế),hanh_chanh,HCQT,,2026-01-13,2026-01-20,da_hoan_thanh,1,,Biên bản 13/01/2026,0
121,HCQT cải tạo hồ cá (trồng cây vòng ngoài + làm hồ vòi phun vòng trong),hanh_chanh,HCQT,,2026-01-13,2026-01-20,da_hoan_thanh,1,,Biên bản 13/01/2026,0
122,HCQT xử lý lối đi xe lăn (xi măng lối lên + khắc phục bậc tam cấp trước PK),hanh_chanh,HCQT,,2026-01-13,2026-01-20,da_hoan_thanh,1,,Biên bản 13/01/2026,0
123,HCQT làm biển báo và decal (nhà xe NV + kính phòng điều hành + lối đi NVYT),hanh_chanh,HCQT,,2026-01-13,2026-01-20,da_hoan_thanh,1,,Biên bản 13/01/2026,0
124,HCQT kiểm tra giám sát (khóa thang máy + khóa WC + rà rò nước + xem nguồn nước tưới cây),hanh_chanh,HCQT,,2026-01-13,2026-01-20,da_hoan_thanh,1,,Biên bản 13/01/2026,0
125,HCQT lắp camera wifi toàn viện,hanh_chanh,HCQT,,2026-01-13,2026-01-20,da_hoan_thanh,1,,Biên bản 13/01/2026,0
126,HCQT di dời giường CC thay bằng 5 ghế đa năng,hanh_chanh,HCQT,,2026-01-13,2026-01-20,da_hoan_thanh,1,,Biên bản 13/01/2026,0
127,HCQT trang bị FaceID điểm danh giao ban tại Khoa Cấp cứu,hanh_chanh,HCQT,,2026-01-13,2026-01-20,da_hoan_thanh,1,,Biên bản 13/01/2026,0
128,HCQT quản lý bãi xe NV và kiểm soát xe đơn vị ngoài (115 + xe xây dựng),hanh_chanh,HCQT,,2026-01-13,2026-01-20,da_hoan_thanh,1,Bs Bảo Anh + anh Hữu kiểm soát,Biên bản 13/01/2026,0
129,HCQT quản lý và báo cáo điện nước hàng tuần cho BGĐ,quan_ly_khac,HCQT,,2026-01-13,2026-01-20,da_hoan_thanh,1,Giám sát mỗi ngày - báo tăng giảm đột xuất,Biên bản 13/01/2026,1
130,KHTH bổ sung thư ký ghi biên bản giao ban bệnh viện,quan_ly_khac,KHTH,,2026-01-13,2026-01-20,tre_deadline,1,,Biên bản 13/01/2026,0
131,KHTH giải trình việc Khoa Nội chưa chuyển xuống Cấp cứu,quan_ly_khac,KHTH,,2026-01-13,2026-01-16,tre_deadline,1,,Biên bản 13/01/2026,0
132,KHTH báo cáo tuần số BN tái khám (khám thai + phụ khoa + không tái khám),quan_ly_khac,KHTH,,2026-01-13,2026-01-20,dang_thuc_hien,1,,Biên bản 13/01/2026,1
133,KHTH + Điều dưỡng giám sát chuyển tuyến (đúng danh mục + phân tích lý do chuyển),quan_ly_khac,KHTH,Điều dưỡng,2026-01-13,2026-01-20,dang_thuc_hien,1,,Biên bản 13/01/2026,1
134,TCCB thu thập biên bản bàn giao nhân sự cũ-mới báo cáo BGĐ,quan_ly_khac,TCCB,,2026-01-13,2026-01-16,tre_deadline,2,,Biên bản 13/01/2026,0
135,TCCB phối hợp KHTH + Điều dưỡng làm lịch trực theo chuẩn CS1,quan_ly_khac,TCCB,KHTH|Điều dưỡng,2026-01-13,2026-01-20,tre_deadline,1,,Biên bản 13/01/2026,0
136,TCCB xây dựng KPI phòng khám (tái khám + 5000 khám đoàn sức khỏe Q1.2027),quan_ly_khac,TCCB,,2026-01-13,2026-01-20,tre_deadline,1,,Biên bản 13/01/2026,0
137,TCCB làm việc với BV Lê Văn Thịnh về lịch giao ban khoa cuối giờ chiều,quan_ly_khac,TCCB,,2026-01-13,2026-01-20,tre_deadline,1,,Biên bản 13/01/2026,0
138,TCCB cử luân phiên nhân sự K.PHCN xuống học tập PHCN và YHCT tại CS2,quan_ly_khac,TCCB,,2026-01-13,2026-01-20,tre_deadline,1,,Biên bản 13/01/2026,0
139,GMHS phụ trách hành chính CC và đào tạo cấp cứu đa khoa cho nhân sự GMHS,hanh_chanh,GMHS,K.Cấp cứu,2026-01-13,2026-01-20,tre_deadline,1,,Biên bản 13/01/2026,0
140,KSNK xây dựng quy trình kiểm soát nhiễm khuẩn và đường đi chất thải toàn viện,chuyen_mon,KSNK,,2026-01-13,2026-01-20,tre_deadline,1,,Biên bản 13/01/2026,0
141,TCCB mời Bs Châu khảo sát KSNK + gửi báo cáo cho BGĐ,quan_ly_khac,TCCB,KSNK,2026-01-13,2026-01-20,tre_deadline,1,,Biên bản 13/01/2026,0
142,VTTBYT làm tờ trình khu vực bình Oxy (an toàn + vệ sinh + KSNK đúng quy định),chuyen_mon,VTTBYT,,2026-01-13,2026-01-20,tre_deadline,1,,Biên bản 13/01/2026,0
143,KHTH + Điều dưỡng bố trí trực Tết và chuẩn bị khu khám bệnh tại CC,hanh_chanh,KHTH,Điều dưỡng,2026-01-13,2026-03-15,da_hoan_thanh,1,,Biên bản 13/01/2026,0
144,XN báo cáo xét nghiệm thực hiện nhiều nhất và đề xuất danh mục XN cần thiết,chuyen_mon,XN,,2026-01-13,2026-01-20,tre_deadline,1,,Biên bản 13/01/2026,0
145,K.Cấp cứu + KSNK trình phương án di dời phòng xử lý dụng cụ và quy trình xử lý,chuyen_mon,K.Cấp cứu,KSNK,2026-01-13,2026-01-20,da_hoan_thanh,1,,Biên bản 13/01/2026,0
146,Đoàn Thanh Niên phối hợp HCQT vệ sinh và tăng gia sản xuất mỗi tháng,quan_ly_khac,Đoàn Thanh Niên,HCQT,2026-01-13,2026-01-27,dang_thuc_hien,1,,Biên bản 13/01/2026,1
147,Bổ sung ghế chờ khu vực trước phòng khám Nội,hanh_chanh,HCQT,,2026-02-04,2026-02-10,da_hoan_thanh,1,,Biên bản 04/02/2026,0
148,Lắp bảng chỉ dẫn đến Nhà thuốc kích thước lớn tại vị trí dễ quan sát,hanh_chanh,HCQT,,2026-02-04,2026-02-10,da_hoan_thanh,1,,Biên bản 04/02/2026,0
149,Lắp màn hình TV khu vực bệnh nhân ngồi chờ lấy thuốc,hanh_chanh,HCQT,,2026-02-04,2026-02-10,da_hoan_thanh,1,,Biên bản 04/02/2026,0
150,Vệ sinh khu vực gầm cầu thang Nhà thuốc,hanh_chanh,HCQT,,2026-02-04,2026-02-10,da_hoan_thanh,1,,Biên bản 04/02/2026,0
151,Xử lý/di dời cây xanh bồn cây trước phòng khám YHCT,hanh_chanh,HCQT,,2026-02-04,2026-02-10,tre_deadline,1,,Biên bản 04/02/2026,0
152,Tăng cường hệ thống chiếu sáng khu vực X-quang,hanh_chanh,HCQT,,2026-02-04,2026-02-10,tre_deadline,1,,Biên bản 04/02/2026,0
153,Thu hồi và lưu kho tủ gỗ đỏ tại phòng HC và phòng trực các khoa,hanh_chanh,HCQT,,2026-02-04,2026-02-10,tre_deadline,1,,Biên bản 04/02/2026,0
154,Lắp bảng thông báo giờ khám bệnh kích thước lớn tại cổng BV,hanh_chanh,HCQT,,2026-02-04,2026-02-10,da_hoan_thanh,1,Sáng 07:00-11:30; Chiều 12:30-16:00,Biên bản 04/02/2026,0
155,Kẻ vạch chỉ dẫn lối vào/ra khu phân luồng tiếp nhận bệnh nhân,hanh_chanh,HCQT,Điều dưỡng,2026-02-04,2026-02-10,da_hoan_thanh,1,Khung Inox khu tiếp nhận,Biên bản 04/02/2026,0
156,Thiết kế và niêm yết Poster quy trình cấp phát thuốc; phân định ô nộp toa và ô nhận thuốc,hanh_chanh,Điều dưỡng,HCQT|Dược,2026-02-04,2026-02-10,da_hoan_thanh,1,Poster khổ lớn tại Khoa Dược,Biên bản 04/02/2026,0
157,Lắp đặt TV và ấn phẩm TTGDSK tại khu vực X-quang,hanh_chanh,HCQT,Điều dưỡng,2026-02-04,2026-02-10,da_hoan_thanh,1,,Biên bản 04/02/2026,0
158,Thay hệ thống ống tưới cây nhựa bằng ống kẽm/sắt chống nứt vỡ rò rỉ,hanh_chanh,HCQT,,2026-02-04,2026-02-10,da_hoan_thanh,1,,Biên bản 04/02/2026,0
159,Thay mới bản lề cửa cuối hành lang Khoa Ngoại,hanh_chanh,HCQT,,2026-02-04,2026-04-19,da_hoan_thanh,1,Hoàn thành,Biên bản 04/02/2026,0
160,Sơn lại lan can khu Cấp cứu/khu Phòng khám/khu C,hanh_chanh,HCQT,Đoàn Thanh niên,2026-02-04,2026-02-10,da_hoan_thanh,1,Hoàn thành,Biên bản 04/02/2026,0
161,Sơn trắng cửa sắt tủ điện/tủ mạng tại hành lang các khoa,hanh_chanh,HCQT,Đoàn Thanh niên,2026-02-04,2026-02-26,da_hoan_thanh,1,Hoàn thành,Biên bản 04/02/2026,0
162,Chuẩn hóa nội dung và hướng mũi tên bảng chỉ dẫn khu CC và Khoa Ngoại,hanh_chanh,HCQT,Điều dưỡng,2026-02-04,2026-02-18,da_hoan_thanh,1,Hoàn thành,Biên bản 04/02/2026,0
163,Thay toàn bộ ghế nhựa xanh bằng ghế Inox tại khu CC và Khoa Ngoại,hanh_chanh,HCQT,,2026-02-04,2026-02-10,da_hoan_thanh,1,,Biên bản 04/02/2026,0
164,Tháo dỡ toàn bộ quạt tại khu vực Cấp cứu,hanh_chanh,HCQT,,2026-02-04,2026-02-10,da_hoan_thanh,1,,Biên bản 04/02/2026,0
165,Đồng bộ sử dụng khăn trải giường màu trắng,hanh_chanh,Điều dưỡng,,2026-02-04,2026-02-10,da_hoan_thanh,1,,Biên bản 04/02/2026,0
166,Tăng cường bố trí Poster tuyên truyền TTGDSK tại khu Cấp cứu,hanh_chanh,Điều dưỡng,CTXH|HCQT,2026-02-04,2026-05-18,da_hoan_thanh,1,Phối hợp Phòng CTXH,Biên bản 04/02/2026,0
167,Thực hiện nghiêm túc chế độ báo cáo định kỳ (hoạt động chung + chuyên môn + chuyển tuyến),chuyen_mon,KHTH,,2026-02-04,2026-05-10,da_hoan_thanh,1,Thực hiện theo biểu mẫu báo cáo giao ban hằng ngày,Biên bản 04/02/2026,0
168,Báo cáo phân tích hiệu quả dịch vụ kỹ thuật hàng tuần,chuyen_mon,KHTH,,2026-02-04,2026-02-10,dang_thuc_hien,1,,Biên bản 04/02/2026,1
169,Rà soát quy trình chuyển tuyến; hạn chế tối đa chuyển tuyến Sản Phụ khoa,chuyen_mon,KHTH,,2026-02-04,2026-02-10,tre_deadline,1,,Biên bản 04/02/2026,0
170,Bổ sung chi tiết rõ ràng lý do chuyển viện trong hồ sơ bệnh án,chuyen_mon,KHTH,,2026-02-04,2026-02-10,tre_deadline,1,Bác sĩ chỉ định phải theo dõi đến khi BN quay lại,Biên bản 04/02/2026,0
171,Điều dưỡng liên hệ thăm hỏi nắm bắt tình trạng sức khỏe ca đã chuyển tuyến,chuyen_mon,Điều dưỡng,,2026-02-04,2026-02-10,da_hoan_thanh,1,,Biên bản 04/02/2026,0
172,Tổ chức chuyên đề sinh hoạt khoa học về Bệnh Động Kinh,chuyen_mon,KHTH,,2026-02-04,2026-04-08,da_hoan_thanh,1,,Biên bản 04/02/2026,0
173,Triển khai đưa vào hoạt động Phòng khám Nội thứ 3,chuyen_mon,KHTH,BS Bảo Anh|Điều dưỡng|HCQT,2026-02-04,2026-02-10,tre_deadline,1,"Thứ 2, thứ 3, thứ 6 hàng tuần.",Biên bản 04/02/2026,0
174,Bố trí Hộ sinh hoặc Điều dưỡng trực chuyên môn tại Phòng khám Nội,chuyen_mon,Điều dưỡng,,2026-02-04,2026-02-10,da_hoan_thanh,1,,Biên bản 04/02/2026,0
175,Rà soát thay thế Poster chuyên nghiệp tại phòng khám Sản (hình ảnh nhân viên BV),chuyen_mon,Điều dưỡng,,2026-02-04,2026-02-10,da_hoan_thanh,1,,Biên bản 04/02/2026,0
176,Tinh gọn quy trình cấp phát thuốc còn 02 bước; bố trí lại vị trí nộp/nhận toa,chuyen_mon,Dược,KHTH,2026-02-04,2026-02-10,da_hoan_thanh,1,,Biên bản 04/02/2026,0
177,Tăng cường giám sát tuân thủ trang phục y tế và đeo bảng tên NVYT,chuyen_mon,KHTH,Điều dưỡng,2026-02-04,2026-02-10,dang_thuc_hien,1,,Biên bản 04/02/2026,1
178,Xây dựng quy trình kỹ thuật nội soi; đăng ký DMKT nội soi với Sở Y tế,chuyen_mon,KHTH,,2026-02-04,2026-04-28,da_hoan_thanh,1,đã hoàn thành,Biên bản 04/02/2026,0
179,Xây dựng kịch bản và tổ chức diễn tập vận hành trước chuyển đổi khoa Nội/Ngoại/Nhi/Sản,chuyen_mon,KHTH,,2026-02-04,2026-02-10,tre_deadline,1,Role-play nhân viên đóng vai bệnh nhân,Biên bản 04/02/2026,0
180,Ban hành và chuẩn hóa quy trình Báo động đỏ nội viện và Cấp cứu hàng loạt,chuyen_mon,KHTH,,2026-02-04,2026-02-10,tre_deadline,1,,Biên bản 04/02/2026,0
181,Rà soát hoàn thiện quy trình cấp phát thuốc đảm bảo an toàn chính xác,chuyen_mon,Dược,KHTH|Điều dưỡng,2026-02-04,2026-02-10,da_hoan_thanh,1,,Biên bản 04/02/2026,0
182,Bố trí nhân sự hành chính nhập liệu HIS tại đơn vị Thận nhân tạo,chuyen_mon,Điều dưỡng,,2026-02-04,2026-03-10,da_hoan_thanh,1,Nhân sự của Bệnh viện thực hiện,Biên bản 04/02/2026,0
183,Xây dựng gói khám đánh giá sức khỏe tổng quát định kỳ cho bệnh nhân chạy thận,chuyen_mon,KHTH,K.Cấp cứu,2026-02-04,2026-02-10,tre_deadline,1,Định kỳ 6 tháng và 1 năm; có hội chẩn chuyên môn,Biên bản 04/02/2026,0
184,Kiểm soát đẩy dữ liệu Thận nhân tạo lên Cổng Giám định BHYT kịp thời chính xác,chuyen_mon,KHTH,,2026-02-04,2026-02-10,dang_thuc_hien,2,Nhắc lại từ biên bản trước,Biên bản 04/02/2026,1
185,Báo cáo phân tích nguyên nhân lỗi BHYT xuất toán và phương án khắc phục,chuyen_mon,KHTH,,2026-02-04,2026-02-10,tre_deadline,1,,Biên bản 04/02/2026,0
186,Gỡ bỏ quy trình cũ TTYT CG; tháo móc treo tự phát; cấm võng và tủ lạnh cá nhân trong khu chuyên môn,chuyen_mon,KSNK,,2026-02-04,2026-02-10,tre_deadline,1,,Biên bản 04/02/2026,0
187,Trình phê duyệt hệ thống quy trình hướng dẫn KSNK tại từng khoa/phòng,chuyen_mon,KSNK,,2026-02-04,2026-02-10,tre_deadline,1,,Biên bản 04/02/2026,0
188,Sơn sửa cửa/tường khu sân phơi và khoa KSNK,chuyen_mon,HCQT,Đoàn Thanh niên|KSNK,2026-02-04,2026-02-10,da_hoan_thanh,1,,Biên bản 04/02/2026,0
189,Rà soát đề xuất trang bị/sửa chữa xe đẩy thu gom để xử lý tập trung,chuyen_mon,KSNK,,2026-02-04,2026-02-10,tre_deadline,1,,Biên bản 04/02/2026,0
190,Quy hoạch kho chứa rác thải đạt chuẩn Kho sạch 5S (không ứ nước; không mùi hôi),chuyen_mon,HCQT,,2026-02-04,2026-02-10,da_hoan_thanh,1,,Biên bản 04/02/2026,0
191,Rà soát toàn diện quy trình xử lý rác thải lây nhiễm/tái chế/y tế,chuyen_mon,KSNK,,2026-02-04,2026-02-10,tre_deadline,1,,Biên bản 04/02/2026,0
192,Rà soát hệ thống xử lý nước thải đảm bảo đầy đủ hồ sơ pháp lý môi trường,chuyen_mon,KSNK,,2026-02-04,2026-02-10,tre_deadline,1,KSNK chịu trách nhiệm chính về tính pháp lý,Biên bản 04/02/2026,0
193,Bác sĩ Châu triển khai giám sát và quản lý KSNK tại Cơ sở 2,chuyen_mon,KSNK,,2026-02-04,2026-02-10,dang_thuc_hien,1,,Biên bản 04/02/2026,1
194,Khoa Dược chủ trì triển khai tiêm chủng Nhi phối hợp KHTH,chuyen_mon,Dược,KHTH,2026-02-04,2026-02-10,da_hoan_thanh,1,,Biên bản 04/02/2026,0
195,Hoàn thiện thủ tục công bố đủ điều kiện tiêm chủng với cơ quan chức năng,chuyen_mon,KHTH,,2026-02-04,2026-02-10,tre_deadline,1,,Biên bản 04/02/2026,0
196,Xây dựng kế hoạch điểm tiêm chủng TUDU Vaccine mô hình dịch vụ chất lượng cao,chuyen_mon,Dược,KHTH|Điều dưỡng,2026-02-04,2026-02-10,da_hoan_thanh,1,,Biên bản 04/02/2026,0
197,Diễn tập báo động đỏ nội viện (KHTH chủ trì),chuyen_mon,KHTH,,2026-02-04,2026-02-10,tre_deadline,2,Nhắc lại từ biên bản 29/01,Biên bản 04/02/2026,0
198,Diễn tập cấp cứu hàng loạt (KHTH chủ trì),chuyen_mon,KHTH,,2026-02-04,2026-02-10,tre_deadline,2,Nhắc lại từ biên bản 29/01,Biên bản 04/02/2026,0
199,Diễn tập nhận bệnh và hoạt động sau khi chuyển đổi khoa Nội/Ngoại/Sản/Nhi,chuyen_mon,KHTH,,2026-02-04,2026-02-10,tre_deadline,1,,Biên bản 04/02/2026,0
200,Tầm soát bệnh lý toàn diện cho BN lão khoa/sản khoa/CC/thận nhân tạo,chuyen_mon,KHTH,,2026-02-04,2026-02-10,tre_deadline,1,,Biên bản 04/02/2026,0
201,Khoa Dược quản lý Kho tổng CS2 theo quy trình tương đương CS1,quan_ly_khac,Dược,,2026-02-04,2026-02-10,tre_deadline,1,,Biên bản 04/02/2026,0
202,Dược + VTTBYT + HCQT phân loại quy hoạch vật tư cùng nhóm vào chung một kho,quan_ly_khac,Dược,VTTBYT|HCQT,2026-02-04,2026-02-10,da_hoan_thanh,1,,Biên bản 04/02/2026,0
203,Thu gom kệ/tủ không còn sử dụng toàn viện để trang bị kho vật tư,quan_ly_khac,HCQT,,2026-02-04,2026-02-10,tre_deadline,1,,Biên bản 04/02/2026,0
204,Thu hồi bình Oxy di động và sơn lại vỏ bình theo quy chuẩn kỹ thuật an toàn,quan_ly_khac,VTTBYT,HCQT|Đoàn Thanh niên,2026-02-04,2026-02-10,da_hoan_thanh,1,⚠️ Báo cáo từ phòng phối hợp (HCQT) — cần kiểm tra lại với phòng chính (VTTBYT),Biên bản 04/02/2026,0
205,Thu gom và quy hoạch vị trí đặt bình PCCC (bình đỏ) tập trung đúng quy định,quan_ly_khac,HCQT,,2026-02-04,2026-02-10,da_hoan_thanh,1,,Biên bản 04/02/2026,0
206,Xử lý rác thải và thanh lý bàn ghế hư khu Nhà chứa Oxy và Nhà chứa rác,quan_ly_khac,HCQT,,2026-02-04,2026-02-10,da_hoan_thanh,1,,Biên bản 04/02/2026,0
207,KHTH + CTXH khảo sát mô hình khám đoàn tại Bệnh viện Lê Văn Thịnh,quan_ly_khac,KHTH,CTXH,2026-02-04,2026-02-10,tre_deadline,1,Học tập quy trình và kỹ năng tiếp cận khách hàng doanh nghiệp,Biên bản 04/02/2026,0
208,TCCB tham mưu chế tài BS chỉ định chuyển viện không theo dõi (đưa vào KPI và thi đua),quan_ly_khac,TCCB,,2026-02-04,2026-02-10,tre_deadline,1,,Biên bản 04/02/2026,0
209,Điều dưỡng trưởng rà soát và khắc phục đồng phục NVYT (size không chuẩn),quan_ly_khac,Điều dưỡng,,2026-02-04,2026-04-02,da_hoan_thanh,2,Nhắc lại; kiểu dáng và chất liệu đạt nhưng size không chuẩn,Biên bản 04/02/2026,0
210,TCCB ban hành quy chế ký duyệt giấy chuyển tuyến bắt buộc 2 chữ ký (KHTH + Trưởng CC),quan_ly_khac,TCCB,KHTH,2026-02-04,2026-02-10,tre_deadline,1,,Biên bản 04/02/2026,0
211,TCCB xây dựng biểu mẫu báo cáo công việc hàng tuần cho Bác sĩ,quan_ly_khac,TCCB,,2026-02-04,2026-02-10,dang_thuc_hien,1,Nội dung: đã hoàn thành; tồn đọng; khó khăn; kế hoạch tuần tới,Biên bản 04/02/2026,1
212,TCCB ra thông báo Tổ đấu thầu chuyển địa điểm làm việc về CS2,quan_ly_khac,TCCB,,2026-02-04,2026-02-10,tre_deadline,1,,Biên bản 04/02/2026,0
213,Phát động cuộc thi Tranh tường CS2 (mô hình Con đường Hạnh phúc; khung linh hoạt),quan_ly_khac,Công Đoàn,Điều dưỡng|CTXH|Đoàn Thanh niên,2026-02-04,2026-02-10,tre_deadline,1,Mỗi khoa/phòng phụ trách 1 mảng tường,Biên bản 04/02/2026,0
214,Lên kế hoạch trang trí Tết CS2 và giao lưu văn hóa với chính quyền/người dân địa phương,quan_ly_khac,Điều dưỡng,HCQT|Đoàn Thanh niên,2026-02-04,2026-02-10,da_hoan_thanh,1,⚠️ Báo cáo từ phòng phối hợp (HCQT) — cần kiểm tra lại với phòng chính (Điều dưỡng),Biên bản 04/02/2026,0
215,TCCB phối hợp đoàn thể thăm hỏi động viên BN khó khăn (Thận nhân tạo/Sản/Lão khoa),quan_ly_khac,TCCB,,2026-02-04,2026-02-10,tre_deadline,1,,Biên bản 04/02/2026,0
216,Rà soát thống nhất tên biển hiệu phòng chức năng Khoa Ngoại trú (Phòng nghỉ/Phòng trực/HC),quan_ly_khac,KHTH,HCQT,2026-02-04,2026-02-10,tre_deadline,1,,Biên bản 04/02/2026,0
217,VTTBYT báo cáo tiến độ lắp đặt và vận hành máy CT Scanner,quan_ly_khac,VTTBYT,,2026-02-04,2026-02-10,tre_deadline,2,Ông Toàn phụ trách; nhắc lại,Biên bản 04/02/2026,0
218,Bảo đảm an toàn; che chắn khu vực bồn nước sau cổng Phan Trọng Tuệ,hanh_chanh,HCQT,,2026-02-10,2026-02-13,tre_deadline,1,,Biên bản 10/02/2026,0
219,Sửa chữa tường bị thủng ở lối ra bên hông phòng khám,hanh_chanh,HCQT,,2026-02-10,2026-03-05,da_hoan_thanh,1,Hoàn thành,Biên bản 10/02/2026,0
220,Cải tạo 2 bồn cây trên mặt đất trước phòng khám YHCT,hanh_chanh,HCQT,,2026-02-10,2026-02-13,tre_deadline,2,Nhắc lại từ BB 04/02,Biên bản 10/02/2026,0
221,Bổ sung bảng cấm hút thuốc tại sảnh ngoài và dọc lối lên cấp cứu,hanh_chanh,HCQT,,2026-02-10,2026-02-13,da_hoan_thanh,1,,Biên bản 10/02/2026,0
222,Dọn dẹp 5S; di dời xe CC cũ hư; trang bị TV lớn phòng họp CC; làm quầy nước; bổ sung ảnh BGĐ,hanh_chanh,HCQT,,2026-02-10,2026-02-13,da_hoan_thanh,1,,Biên bản 10/02/2026,0
223,Trực tập trung tại khoa Cấp cứu (điều hành KHTH + Điều dưỡng + HCQT),hanh_chanh,KHTH,Điều dưỡng|HCQT,2026-02-10,2026-04-10,da_hoan_thanh,1,"Đã hoàn thành thông báo cho luân chuyển mới, thực hiện giám sát",Biên bản 10/02/2026,0
224,Chuyển khoa Sản xuống tầng trệt gần Cấp cứu trong tuần,hanh_chanh,KHTH,Điều dưỡng|HCQT,2026-02-10,2026-02-13,da_hoan_thanh,1,⚠️ Báo cáo từ phòng phối hợp (HCQT) — cần kiểm tra lại với phòng chính (KHTH),Biên bản 10/02/2026,0
225,Tích hợp phòng khám Sản + Phụ + Soi thành 1 phòng khám,hanh_chanh,KHTH,Điều dưỡng|HCQT,2026-02-10,2026-02-10,da_hoan_thanh,1,⚠️ Báo cáo từ phòng phối hợp (HCQT) — cần kiểm tra lại với phòng chính (KHTH),Biên bản 10/02/2026,0
226,HCQT chuyển tủ lạnh KSNK về đúng vị trí; tủ sắt đến kho văn phòng phẩm,chuyen_mon,HCQT,,2026-02-10,2026-02-13,da_hoan_thanh,1,,Biên bản 10/02/2026,0
227,KHTH + KSNK triển khai sử dụng đồ mổ 1 lần; dự trù chi phí vật tư 1 ca mổ,chuyen_mon,KHTH,KSNK,2026-02-10,2026-02-13,tre_deadline,1,,Biên bản 10/02/2026,0
228,KSNK + GMHS triển khai hộp đựng dụng cụ mổ Container lưu tại phòng mổ,chuyen_mon,KSNK,GMHS,2026-02-10,2026-02-13,tre_deadline,1,,Biên bản 10/02/2026,0
229,KSNK + HCQT rà soát và trang bị kệ/tủ Inox đựng dụng cụ toàn viện,chuyen_mon,KSNK,HCQT,2026-02-10,2026-02-13,tre_deadline,1,,Biên bản 10/02/2026,0
230,Xây dựng quy trình chuyên môn triển khai sổ sức khỏe,chuyen_mon,KHTH,K.Cấp cứu,2026-02-10,2026-02-13,tre_deadline,1,,Biên bản 10/02/2026,0
231,Triển khai sổ khám sức khỏe toàn diện cho nhóm nguy cơ cao trước Tết,chuyen_mon,KHTH,BS Bảo Anh,2026-02-10,2026-02-13,tre_deadline,1,NB CC/lão khoa/sản phụ khoa/Nhi/PHCN/YHCT,Biên bản 10/02/2026,0
232,Lên lịch Hội chẩn hàng tuần cho BS Giám đốc và BS Bảo Anh tại CS2,chuyen_mon,KHTH,,2026-02-10,2026-02-13,dang_thuc_hien,1,Giải quyết khó khăn chuyên môn CS2,Biên bản 10/02/2026,1
233,Sắp xếp lại phòng Phun Khí Dung đúng chuẩn (bàn ghế),chuyen_mon,KHTH,,2026-02-10,2026-02-13,tre_deadline,1,,Biên bản 10/02/2026,0
234,Làm công văn gửi BV Ung Bướu phối hợp điều trị các ca ung thư tại CS2,chuyen_mon,KHTH,,2026-02-10,2026-02-13,tre_deadline,1,,Biên bản 10/02/2026,0
235,Làm bảng kiểm trước chuyển tuyến; theo dấu và gọi điện BN chuyển tuyến,chuyen_mon,KHTH,Điều dưỡng,2026-02-10,2026-02-13,tre_deadline,2,Nhắc lại; bảng kiểm gồm lý do/theo dõi/hình thức/quyền lợi NB,Biên bản 10/02/2026,0
236,BS KHTH + BS Trưởng CC xuống khám lại các ca chuyển tuyến,chuyen_mon,KHTH,K.Cấp cứu,2026-02-10,2026-02-13,tre_deadline,1,,Biên bản 10/02/2026,0
237,KHTH + BS Trưởng CC liên hệ BV Lê Văn Thịnh về nhân sự thực hiện nội soi,chuyen_mon,KHTH,K.Cấp cứu,2026-02-10,2026-02-13,tre_deadline,1,,Biên bản 10/02/2026,0
238,GMHS + KHTH triển khai nội soi tiêu hóa không đau; học tập và đào tạo tại BV Lê Văn Thịnh,chuyen_mon,GMHS,KHTH,2026-02-10,2026-02-13,tre_deadline,1,Tiêu hóa trên và tiêu hóa dưới,Biên bản 10/02/2026,0
239,KHTH ưu tiên trình gấp các DMKT cần thiết,chuyen_mon,KHTH,,2026-02-10,2026-02-13,tre_deadline,1,,Biên bản 10/02/2026,0
240,KHTH báo cáo phân tích chi tiết tình hình chuyển viện và theo dấu người bệnh,chuyen_mon,KHTH,,2026-02-10,2026-02-13,tre_deadline,2,Nhắc lại; phân tích chi tiết hơn,Biên bản 10/02/2026,0
